epoch,acc,loss,lr,val_acc,val_loss
0,0.8492859,0.4367907961244106,0.001,0.8176546,0.5499120450019837
1,0.87047267,0.389677077744246,0.001,0.8402062,0.4817030084133148
2,0.87944186,0.36768077199257587,0.001,0.80927837,1.6247668957710266
3,0.8855046,0.3524512449445659,0.001,0.87822163,0.43792345881462097
4,0.8928825,0.3396860205953773,0.001,0.8659794,0.45019530177116396
5,0.8961046,0.32938900254207254,0.001,0.83054125,0.6055214738845826
6,0.90039194,0.3199444559300296,0.001,0.82216495,0.5496646428108215
7,0.9050343,0.31042119342112684,0.001,0.8621134,0.500266250371933
8,0.9095058,0.30095652887830543,0.001,0.867268,0.4342061567306519
9,0.9107157,0.2975592763975959,0.001,0.87177837,0.4444218111038208
10,0.9148189,0.2897766793356466,0.001,0.8640464,0.44646346926689146
11,0.9182514,0.2813987382597605,0.001,0.84085053,0.6207068681716919
12,0.91982955,0.2788225150999765,0.001,0.8614691,0.4914898586273193
13,0.9232226,0.26952748578615493,0.001,0.84085053,0.5930998480319977
14,0.94970936,0.20300143356842987,0.000100000005,0.91237116,0.3579202562570572
15,0.95767903,0.18143805751729924,0.000100000005,0.91688144,0.3535160207748413
16,0.9605066,0.17016603700767052,0.000100000005,0.9181701,0.36402988016605375
17,0.96488595,0.1602802261844994,0.000100000005,0.9136598,0.39458955347537994
18,0.96629316,0.1558122127159014,0.000100000005,0.91430414,0.37318846106529235
19,0.9680554,0.14808866111598645,0.000100000005,0.9188144,0.3670925146341324
20,0.9701071,0.14303158358338725,0.000100000005,0.91752577,0.3806310522556305
21,0.9741971,0.1334374784483015,1.0000001e-05,0.9220361,0.3749744927883148
22,0.97452587,0.1313805019641657,1.0000001e-05,0.9181701,0.3802401864528656
23,0.97473633,0.1302374566058194,1.0000001e-05,0.91945875,0.38351751029491427
24,0.9749073,0.12993041017404872,1.0000001e-05,0.9188144,0.37771408677101137
25,0.97561747,0.12841138963355186,1.0000001e-05,0.91945875,0.381031653881073
26,0.97636706,0.12709661761675087,1.0000001e-06,0.9207474,0.3782026773691177
27,0.97626185,0.1270270471068026,1.0000001e-06,0.9188144,0.3787045562267303
